bfsCode;Gemeindename;Kanton_Code;Kanton;Bezirk_Code;Bezirksname;Grossregion_Code;Grossregion_Text;Agglo_2012_Code;Agglo_2012_Text;Agglogrkl_2012_Code;Agglogrkl_2012_Text;raumStadt_2012_Code;raumStadt_2012_Text;Stadt_2012_Code;Stadt_2012_Text;Stadt_Land_2012_Code;Stadt_Land_2012_Text;Gdetypen_9_2012_Code;Gdetypen_9_2012_Text;Gdetypen_25_2012_Code;Gdetypen_25_2012_Text;Arbmarktgrossreg_2018_Code;Arbmarktgrossreg_2018_Text;Arbmarktreg_2018_Code;Arbmarktreg_2018_Text;Sprachgebiet_2016_Code;Sprachgebiet_2016_Text;Berggebiet_2019_Code;Berggebiet_2019_Text;DEGURBA_2011_Code;DEGURBA_2011_Text;GreaterCity_2011_Code;GreaterCity_2011_Text;Funktional_Stadt_2014_Code;Funktional_Stadt_2014_Text;MS_Region_2000_Code;MS_Region_2000_Text;Arbmarktreg_2000_Code;Arbmarktreg_2000_Text;Typ_MS_Reg_Code;Typ_MS_Reg_Text;Europ_Berggebiet_Code;Europ_Berggebiet_Text
580;Hofstetten bei Brienz;2;BE;250;Interlaken-Oberhasli;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;0;Ländliche Gemeinde ohne städtischen Charakter;0;nein;3;Ländlich;33;Ländliche periphere Gemeinde;338;Ländliche periphere Mischgemeinde;9;Berner Oberland;9060;Meiringen;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;0;Nicht zu einem funktionalen städtischen Gebiet zugehörig;23;Oberland-Ost;7;Bern;10;Region einer Kleinagglomeration, touristisch (ATP);4;Alpen
581;Interlaken;2;BE;250;Interlaken-Oberhasli;2;Espace Mittelland;581;Interlaken;5;< 50'000 Einwohner/innen;1;Agglomerationskerngemeinde (Kernstadt);1;ja (Stadt);1;Städtisch;13;Städtische Gemeinde einer kleinen oder ausserhalb einer Agglomeration;134;Städtische Tourismusgemeinde einer kleinen oder ausserhalb einer Agglomeration;9;Berner Oberland;9050;Interlaken;1;Deutsch;1;Gemeinden im Berggebiet;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;0;Nicht zu einem funktionalen städtischen Gebiet zugehörig;23;Oberland-Ost;7;Bern;10;Region einer Kleinagglomeration, touristisch (ATP);4;Alpen
582;Iseltwald;2;BE;250;Interlaken-Oberhasli;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;237;Periurbane Dienstleistungsgemeinde geringer Dichte;9;Berner Oberland;9050;Interlaken;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;0;Nicht zu einem funktionalen städtischen Gebiet zugehörig;23;Oberland-Ost;7;Bern;10;Region einer Kleinagglomeration, touristisch (ATP);4;Alpen
584;Lauterbrunnen;2;BE;250;Interlaken-Oberhasli;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;0;Ländliche Gemeinde ohne städtischen Charakter;0;nein;3;Ländlich;33;Ländliche periphere Gemeinde;334;Ländliche periphere Tourismusgemeinde;9;Berner Oberland;9050;Interlaken;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;0;Nicht zu einem funktionalen städtischen Gebiet zugehörig;23;Oberland-Ost;7;Bern;10;Region einer Kleinagglomeration, touristisch (ATP);4;Alpen
585;Leissigen;2;BE;250;Interlaken-Oberhasli;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;237;Periurbane Dienstleistungsgemeinde geringer Dichte;9;Berner Oberland;9050;Interlaken;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;23;Oberland-Ost;7;Bern;10;Region einer Kleinagglomeration, touristisch (ATP);4;Alpen
586;Lütschental;2;BE;250;Interlaken-Oberhasli;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;0;Ländliche Gemeinde ohne städtischen Charakter;0;nein;3;Ländlich;33;Ländliche periphere Gemeinde;335;Ländliche periphere Agrargemeinde;9;Berner Oberland;9050;Interlaken;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;0;Nicht zu einem funktionalen städtischen Gebiet zugehörig;23;Oberland-Ost;7;Bern;10;Region einer Kleinagglomeration, touristisch (ATP);4;Alpen
587;Matten bei Interlaken;2;BE;250;Interlaken-Oberhasli;2;Espace Mittelland;581;Interlaken;5;< 50'000 Einwohner/innen;2;Agglomerationskerngemeinde (Hauptkern);0;nein;1;Städtisch;13;Städtische Gemeinde einer kleinen oder ausserhalb einer Agglomeration;134;Städtische Tourismusgemeinde einer kleinen oder ausserhalb einer Agglomeration;9;Berner Oberland;9050;Interlaken;1;Deutsch;1;Gemeinden im Berggebiet;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;0;Nicht zu einem funktionalen städtischen Gebiet zugehörig;23;Oberland-Ost;7;Bern;10;Region einer Kleinagglomeration, touristisch (ATP);4;Alpen
588;Niederried bei Interlaken;2;BE;250;Interlaken-Oberhasli;2;Espace Mittelland;581;Interlaken;5;< 50'000 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;237;Periurbane Dienstleistungsgemeinde geringer Dichte;9;Berner Oberland;9050;Interlaken;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;0;Nicht zu einem funktionalen städtischen Gebiet zugehörig;23;Oberland-Ost;7;Bern;10;Region einer Kleinagglomeration, touristisch (ATP);4;Alpen
589;Oberried am Brienzersee;2;BE;250;Interlaken-Oberhasli;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;237;Periurbane Dienstleistungsgemeinde geringer Dichte;9;Berner Oberland;9050;Interlaken;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;0;Nicht zu einem funktionalen städtischen Gebiet zugehörig;23;Oberland-Ost;7;Bern;10;Region einer Kleinagglomeration, touristisch (ATP);4;Alpen
590;Ringgenberg (BE);2;BE;250;Interlaken-Oberhasli;2;Espace Mittelland;581;Interlaken;5;< 50'000 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;227;Periurbane Dienstleistungsgemeinde mittlerer Dichte;9;Berner Oberland;9050;Interlaken;1;Deutsch;1;Gemeinden im Berggebiet;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;0;Nicht zu einem funktionalen städtischen Gebiet zugehörig;23;Oberland-Ost;7;Bern;10;Region einer Kleinagglomeration, touristisch (ATP);4;Alpen
591;Saxeten;2;BE;250;Interlaken-Oberhasli;2;Espace Mittelland;581;Interlaken;5;< 50'000 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;235;Periurbane Agrargemeinde geringer Dichte;9;Berner Oberland;9050;Interlaken;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;0;Nicht zu einem funktionalen städtischen Gebiet zugehörig;23;Oberland-Ost;7;Bern;10;Region einer Kleinagglomeration, touristisch (ATP);4;Alpen
592;Schwanden bei Brienz;2;BE;250;Interlaken-Oberhasli;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;0;Ländliche Gemeinde ohne städtischen Charakter;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);31;Ländliche Zentrumsgemeinde;316;Industriegemeinde eines ländlichen Zentrums;9;Berner Oberland;9060;Meiringen;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;0;Nicht zu einem funktionalen städtischen Gebiet zugehörig;23;Oberland-Ost;7;Bern;10;Region einer Kleinagglomeration, touristisch (ATP);4;Alpen
593;Unterseen;2;BE;250;Interlaken-Oberhasli;2;Espace Mittelland;581;Interlaken;5;< 50'000 Einwohner/innen;2;Agglomerationskerngemeinde (Hauptkern);0;nein;1;Städtisch;13;Städtische Gemeinde einer kleinen oder ausserhalb einer Agglomeration;134;Städtische Tourismusgemeinde einer kleinen oder ausserhalb einer Agglomeration;9;Berner Oberland;9050;Interlaken;1;Deutsch;1;Gemeinden im Berggebiet;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;0;Nicht zu einem funktionalen städtischen Gebiet zugehörig;23;Oberland-Ost;7;Bern;10;Region einer Kleinagglomeration, touristisch (ATP);4;Alpen
594;Wilderswil;2;BE;250;Interlaken-Oberhasli;2;Espace Mittelland;581;Interlaken;5;< 50'000 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;226;Periurbane Industriegemeinde mittlerer Dichte;9;Berner Oberland;9050;Interlaken;1;Deutsch;1;Gemeinden im Berggebiet;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;0;Nicht zu einem funktionalen städtischen Gebiet zugehörig;23;Oberland-Ost;7;Bern;10;Region einer Kleinagglomeration, touristisch (ATP);4;Alpen
602;Arni (BE);2;BE;246;Bern-Mittelland;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;0;Ländliche Gemeinde ohne städtischen Charakter;0;nein;3;Ländlich;32;Ländliche zentral gelegene Gemeinde;325;Ländliche zentral gelegene Agrargemeinde;6;Region Bern;6015;Konolfingen;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
603;Biglen;2;BE;246;Bern-Mittelland;2;Espace Mittelland;351;Bern;2;250'000 - 499'999 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;226;Periurbane Industriegemeinde mittlerer Dichte;6;Region Bern;6015;Konolfingen;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
605;Bowil;2;BE;246;Bern-Mittelland;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;0;Ländliche Gemeinde ohne städtischen Charakter;0;nein;3;Ländlich;32;Ländliche zentral gelegene Gemeinde;325;Ländliche zentral gelegene Agrargemeinde;6;Region Bern;6030;Langnau im Emmental;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
606;Brenzikofen;2;BE;246;Bern-Mittelland;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;237;Periurbane Dienstleistungsgemeinde geringer Dichte;9;Berner Oberland;9030;Thun;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
607;Freimettigen;2;BE;246;Bern-Mittelland;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);21;Periurbane Gemeinde hoher Dichte;217;Periurbane Dienstleistungsgemeinde hoher Dichte;6;Region Bern;6015;Konolfingen;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
608;Grosshöchstetten;2;BE;246;Bern-Mittelland;2;Espace Mittelland;351;Bern;2;250'000 - 499'999 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;227;Periurbane Dienstleistungsgemeinde mittlerer Dichte;6;Region Bern;6015;Konolfingen;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
609;Häutligen;2;BE;246;Bern-Mittelland;2;Espace Mittelland;351;Bern;2;250'000 - 499'999 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;235;Periurbane Agrargemeinde geringer Dichte;6;Region Bern;6015;Konolfingen;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
610;Herbligen;2;BE;246;Bern-Mittelland;2;Espace Mittelland;351;Bern;2;250'000 - 499'999 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;237;Periurbane Dienstleistungsgemeinde geringer Dichte;9;Berner Oberland;9030;Thun;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
611;Kiesen;2;BE;246;Bern-Mittelland;2;Espace Mittelland;351;Bern;2;250'000 - 499'999 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;227;Periurbane Dienstleistungsgemeinde mittlerer Dichte;6;Region Bern;6013;Münsingen–Belp;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
612;Konolfingen;2;BE;246;Bern-Mittelland;2;Espace Mittelland;351;Bern;2;250'000 - 499'999 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);21;Periurbane Gemeinde hoher Dichte;216;Periurbane Industriegemeinde hoher Dichte;6;Region Bern;6015;Konolfingen;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
613;Landiswil;2;BE;246;Bern-Mittelland;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;0;Ländliche Gemeinde ohne städtischen Charakter;0;nein;3;Ländlich;32;Ländliche zentral gelegene Gemeinde;325;Ländliche zentral gelegene Agrargemeinde;6;Region Bern;6030;Langnau im Emmental;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;17;Oberes Emmental;7;Bern;14;Rurale agrarische Region (RAG);4;Alpen
614;Linden;2;BE;246;Bern-Mittelland;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;0;Ländliche Gemeinde ohne städtischen Charakter;0;nein;3;Ländlich;32;Ländliche zentral gelegene Gemeinde;327;Ländliche zentral gelegene Dienstleistungsgemeinde;9;Berner Oberland;9030;Thun;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
615;Mirchel;2;BE;246;Bern-Mittelland;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;0;Ländliche Gemeinde ohne städtischen Charakter;0;nein;3;Ländlich;32;Ländliche zentral gelegene Gemeinde;325;Ländliche zentral gelegene Agrargemeinde;6;Region Bern;6015;Konolfingen;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
616;Münsingen;2;BE;246;Bern-Mittelland;2;Espace Mittelland;351;Bern;2;250'000 - 499'999 Einwohner/innen;3;Agglomerationskerngemeinde (Nebenkern);1;ja (Stadt);1;Städtisch;11;Städtische Gemeinde einer grossen Agglomeration;112;Städtische Arbeitsplatzgemeinde einer grossen Agglomeration;6;Region Bern;6013;Münsingen–Belp;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
617;Niederhünigen;2;BE;246;Bern-Mittelland;2;Espace Mittelland;351;Bern;2;250'000 - 499'999 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;226;Periurbane Industriegemeinde mittlerer Dichte;6;Region Bern;6015;Konolfingen;1;Deutsch;1;Gemeinden im Berggebiet;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
619;Oberdiessbach;2;BE;246;Bern-Mittelland;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;5;Mehrfach orientierte Gemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;226;Periurbane Industriegemeinde mittlerer Dichte;9;Berner Oberland;9030;Thun;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
620;Oberthal;2;BE;246;Bern-Mittelland;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;0;Ländliche Gemeinde ohne städtischen Charakter;0;nein;3;Ländlich;32;Ländliche zentral gelegene Gemeinde;325;Ländliche zentral gelegene Agrargemeinde;6;Region Bern;6015;Konolfingen;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
622;Oppligen;2;BE;246;Bern-Mittelland;2;Espace Mittelland;351;Bern;2;250'000 - 499'999 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;226;Periurbane Industriegemeinde mittlerer Dichte;9;Berner Oberland;9030;Thun;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
623;Rubigen;2;BE;246;Bern-Mittelland;2;Espace Mittelland;351;Bern;2;250'000 - 499'999 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;226;Periurbane Industriegemeinde mittlerer Dichte;6;Region Bern;6012;Bern;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
626;Walkringen;2;BE;246;Bern-Mittelland;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;0;Ländliche Gemeinde ohne städtischen Charakter;0;nein;3;Ländlich;32;Ländliche zentral gelegene Gemeinde;327;Ländliche zentral gelegene Dienstleistungsgemeinde;6;Region Bern;6015;Konolfingen;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
627;Worb;2;BE;246;Bern-Mittelland;2;Espace Mittelland;351;Bern;2;250'000 - 499'999 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);21;Periurbane Gemeinde hoher Dichte;217;Periurbane Dienstleistungsgemeinde hoher Dichte;6;Region Bern;6012;Bern;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;11;Bern;7;Bern;1;Metropolraum, Kernagglomeration (MAC);1;Mittelland - Hochrhein
628;Zäziwil;2;BE;246;Bern-Mittelland;2;Espace Mittelland;351;Bern;2;250'000 - 499'999 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;226;Periurbane Industriegemeinde mittlerer Dichte;6;Region Bern;6015;Konolfingen;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;2;Mitteldicht besiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
629;Oberhünigen;2;BE;246;Bern-Mittelland;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;0;Ländliche Gemeinde ohne städtischen Charakter;0;nein;3;Ländlich;32;Ländliche zentral gelegene Gemeinde;325;Ländliche zentral gelegene Agrargemeinde;6;Region Bern;6015;Konolfingen;1;Deutsch;1;Gemeinden im Berggebiet;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);4;Alpen
630;Allmendingen;2;BE;246;Bern-Mittelland;2;Espace Mittelland;351;Bern;2;250'000 - 499'999 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;3;Ländlich;23;Periurbane Gemeinde geringer Dichte;237;Periurbane Dienstleistungsgemeinde geringer Dichte;6;Region Bern;6012;Bern;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;11;Bern;7;Bern;1;Metropolraum, Kernagglomeration (MAC);1;Mittelland - Hochrhein
632;Wichtrach;2;BE;246;Bern-Mittelland;2;Espace Mittelland;351;Bern;2;250'000 - 499'999 Einwohner/innen;4;Agglomerationsgürtelgemeinde;0;nein;2;Intermediär (dichter periurbaner Raum und ländliche Zentren);22;Periurbane Gemeinde mittlerer Dichte;226;Periurbane Industriegemeinde mittlerer Dichte;6;Region Bern;6013;Münsingen–Belp;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;351960;Bern: funktionales städtisches Gebiet;18;Aaretal;7;Bern;3;Metropolraum, periurbane Zone (MZP);1;Mittelland - Hochrhein
661;Clavaleyres;2;BE;246;Bern-Mittelland;2;Espace Mittelland;0;keine Agglomerationsgemeinde und keine Kerngemeinde ausserhalb von Agglomerationen;0;keine Agglomerationszugehörigkeit;0;Ländliche Gemeinde ohne städtischen Charakter;0;nein;3;Ländlich;32;Ländliche zentral gelegene Gemeinde;325;Ländliche zentral gelegene Agrargemeinde;6;Region Bern;6011;Murten;1;Deutsch;0;Gemeinden ausseralb der Berggebiete;3;Geringbesiedeltes Gebiet;0;Nicht zu einer erweiterten Stadt zugehörig;0;Nicht zu einem funktionalen städtischen Gebiet zugehörig;42;Murten/Morat;4;Fribourg;11;Rurale agro-industrielle Region (RAI);0;Keine Zuordnung
